Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
IN;Delhi;Okhla Phase-2, Delhi - DPCC;;O3;data.gov.in;µg/m³;5.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Sonia Vihar, Delhi - DPCC;;PM2.5;data.gov.in;µg/m³;183.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Major Dhyan Chand National Stadium, Delhi - DPCC;;NO2;data.gov.in;µg/m³;53.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Najafgarh, Delhi - DPCC;;SO2;data.gov.in;µg/m³;5.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Aya Nagar, Delhi - IMD;;NO2;data.gov.in;µg/m³;25.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Burari Crossing, Delhi - IMD;;O3;data.gov.in;µg/m³;18.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;CRRI Mathura Road, Delhi - IMD;;PM10;data.gov.in;µg/m³;287.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;R K Puram, Delhi - DPCC;;CO;data.gov.in;µg/m³;80000.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Shadipur, Delhi - CPCB;;SO2;data.gov.in;µg/m³;13.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Shadipur, Delhi - CPCB;;PM10;data.gov.in;µg/m³;222.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Nehru Nagar, Delhi - DPCC;28.5639543, 77.2587868;O3;caaqm;µg/m³;214.0;2018-05-12T11:30:00+05:30;India
IN;Delhi;Narela, Delhi - DPCC;28.8446874, 77.0332666;PM2.5;caaqm;µg/m³;173.0;2018-05-12T11:30:00+05:30;India
IN;Delhi;Dwarka-Sector 8, Delhi - DPCC;28.5206826, 76.8023871;NO2;caaqm;µg/m³;23.1;2018-05-12T10:30:00+05:30;India
IN;Delhi;Delhi Technological University, Delhi - CPCB;28.744, 77.12;PM2.5;CPCB;µg/m³;451.0;2018-02-22T09:30:00+05:30;India
IN;Delhi;Income Tax Office, Delhi - CPCB;28.6235, 77.2494;PM2.5;CPCB;µg/m³;224.0;2018-02-22T09:15:00+05:30;India
IN;Delhi;North Campus, Delhi - IMD;;PM2.5;CPCB;µg/m³;58.28;2018-02-22T04:30:00+05:30;India
IN;Delhi;Anand Vihar, Delhi - DPCC;28.6508, 77.3152;O3;CPCB;µg/m³;17.87;2018-01-23T10:00:00+05:30;India
IN;Delhi;Lodhi Road, Delhi - IMD;;PM2.5;CPCB;µg/m³;152.62;2018-02-22T02:30:00+05:30;India
IN;Delhi;US Diplomatic Post: New Delhi;28.63576, 77.22445;PM2.5;StateAir_NewDelhi;µg/m³;61.0;2023-03-01T05:00:00+05:30;India
IN;Delhi;North Campus, DU, Delhi - IMD;28.6573814, 77.1585447;O3;caaqm;µg/m³;14.59;2022-06-22T07:45:00+05:30;India
IN;Delhi;ITO, Delhi - CPCB;28.628624, 77.24106;SO2;caaqm;µg/m³;8.4;2022-10-31T07:15:00+05:30;India
IN;Delhi;Aya Nagar, Delhi - IMD;28.4706914, 77.1099364;NO2;caaqm;µg/m³;25.02;2022-10-31T06:45:00+05:30;India
IN;Delhi;Pusa, Delhi - DPCC;28.639645, 77.146262;PM10;caaqm;µg/m³;299.0;2022-10-31T06:15:00+05:30;India
IN;Delhi;Pusa, Delhi - DPCC;28.639645, 77.146262;NO2;caaqm;µg/m³;36.1;2022-10-31T06:15:00+05:30;India
IN;Delhi;Vivek Vihar, Delhi - DPCC;28.672342, 77.31526;NO2;caaqm;µg/m³;21.1;2022-10-31T06:15:00+05:30;India
IN;Delhi;R K Puram, Delhi - DPCC;28.563262, 77.186937;CO;caaqm;µg/m³;2000.0;2022-10-30T16:45:00+05:30;India
IN;Delhi;Okhla Phase-2, Delhi - DPCC;28.530785, 77.271255;O3;caaqm;µg/m³;6.7;2022-10-31T06:15:00+05:30;India
IN;Delhi;Sri Aurobindo Marg, Delhi - DPCC;28.531346, 77.190156;SO2;caaqm;µg/m³;3.8;2022-10-31T06:15:00+05:30;India
IN;Delhi;Narela, Delhi - DPCC;28.822836, 77.101981;NO2;caaqm;µg/m³;66.6;2022-10-31T06:15:00+05:30;India
IN;Delhi;Narela, Delhi - DPCC;28.822836, 77.101981;SO2;caaqm;µg/m³;2.2;2022-10-31T06:15:00+05:30;India
IN;Delhi;Lodhi Road, Delhi - IMD;28.5918245, 77.2273074;PM10;caaqm;µg/m³;155.4;2022-10-16T15:45:00+05:30;India
IN;Delhi;Pusa, Delhi - DPCC;28.639645, 77.146262;PM2.5;caaqm;µg/m³;222.0;2022-10-31T06:15:00+05:30;India
IN;Delhi;Jawaharlal Nehru Stadium, Delhi - DPCC;28.58028, 77.233829;SO2;caaqm;µg/m³;12.4;2022-10-31T06:15:00+05:30;India
IN;Delhi;Jawaharlal Nehru Stadium, Delhi - DPCC;28.58028, 77.233829;CO;caaqm;µg/m³;700.0;2022-10-31T06:15:00+05:30;India
IN;Delhi;Jahangirpuri, Delhi - DPCC;28.73282, 77.170633;PM10;caaqm;µg/m³;399.0;2022-10-31T06:15:00+05:30;India
IN;Delhi;Dr. Karni Singh Shooting Range, Delhi - DPCC;28.498571, 77.26484;O3;caaqm;µg/m³;2.1;2022-10-31T06:00:00+05:30;India
IN;Delhi;Chandni Chowk, Delhi - IITM;28.656756, 77.227234;SO2;caaqm;µg/m³;1.32;2022-08-02T16:00:00+05:30;India
IN;Delhi;Punjabi Bagh, Delhi - DPCC;;CO;data.gov.in;µg/m³;56000.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Jahangirpuri, Delhi - DPCC;;O3;data.gov.in;µg/m³;15.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Patparganj, Delhi - DPCC;;SO2;data.gov.in;µg/m³;33.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Sonia Vihar, Delhi - DPCC;;O3;data.gov.in;µg/m³;8.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Anand Vihar, Delhi - DPCC;;PM2.5;data.gov.in;µg/m³;224.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Major Dhyan Chand National Stadium, Delhi - DPCC;;PM10;data.gov.in;µg/m³;240.0;2022-03-25T05:00:00+05:30;India
